X,Y,Z,|V|,MAx,MAy,MAz,MAv
2.324783,2.834747,9.630127,10.304356,2.325,2.835,9.63,10.304
0.285004,2.756287,7.90416,8.375803,1.815,2.815,9.199,9.822
-1.59787,5.659058,12.454437,13.77284,0.834,3.521,9.905,10.689
-1.519424,6.757401,21.633469,22.715151,-0.127,4.502,12.906,13.792
-1.676331,3.85463,15.357208,15.922063,-1.127,4.757,14.337,15.196
-1.127151,3.227005,11.120743,11.634215,-1.48,4.875,15.141,16.011
0.128098,2.913193,12.06218,12.409644,-1.049,4.188,15.043,15.67
-0.107269,2.756287,10.336212,10.697939,-0.696,3.188,12.219,12.666
-0.107269,3.070099,10.100845,10.557655,-0.303,2.992,10.905,11.325
-0.813339,2.834747,8.767151,9.249878,-0.225,2.894,10.317,10.729
-0.970245,2.913193,9.708588,10.182571,-0.5,2.894,9.728,10.172
-1.284058,2.756287,9.002502,9.502156,-0.794,2.894,9.395,9.873
-1.048706,2.364029,8.924057,9.291244,-1.029,2.717,9.101,9.556
1.147995,2.285568,9.630127,9.963988,-0.539,2.58,9.316,9.735
1.304901,2.520935,9.394775,9.814259,0.03,2.482,9.238,9.643
0.677277,2.442474,8.845596,9.201574,0.52,2.403,9.199,9.568
0.285004,2.677841,8.453323,8.871907,0.854,2.482,9.081,9.463
0.285004,2.520935,8.924057,9.277669,0.638,2.541,8.904,9.291
0.206558,2.834747,9.865494,10.266763,0.363,2.619,9.022,9.404
0.128098,2.59938,10.257751,10.582753,0.226,2.658,9.375,9.75
0.363464,2.991653,9.002502,9.493532,0.246,2.737,9.512,9.905
0.206558,2.913193,9.159409,9.613747,0.226,2.835,9.571,9.989
0.128098,3.305466,9.630127,10.182429,0.207,2.952,9.512,9.968
-0.185715,3.305466,10.0224,10.555051,0.128,3.129,9.454,9.961
-0.264175,3.227005,9.708588,10.234258,-0.029,3.188,9.63,10.146
0.128098,2.991653,8.924057,9.413033,-0.048,3.207,9.571,10.096
0.128098,2.677841,8.767151,9.167888,-0.048,3.05,9.356,9.843
0.206558,2.677841,8.767151,9.169321,0.05,2.894,9.042,9.496
